Facility Name,Facility RRID,Institution Name,City,State,Country,Website,Services,Description
University of Maryland School of Pharmacy Mass Spectrometry Center,RRID:SCR_023493,Garvan Institute of Medical Research,Baltimore,MD,United States of America,https://www.pharmacy.umaryland.edu/centers/massspec/,"Assays and Measurements,Computational - Bioinformatics,Mass Spectrometry,Molecular Imaging,Proteomics","The mission of the Mass Spectrometry Center in the Department of Pharmaceutical Sciences at the University of Maryland School of Pharmacy is to accelerate discovery by providing investigators, on campus and beyond, access to cutting edge technologies in mass spectrometry.
 
 The Mass Spectrometry Center provides state-of-the-art expertise, methodology, and instrumentation to School of Pharmacy researchers and the surrounding research community. The center also provides researchers the opportunity to perform and access very sophisticated experiments by working in a true collaborative effort..."
Imaging Core Facility,RRID:SCR_023476,Georgia State University,Atlanta,GA,United States,https://cas.gsu.edu/imaging-core-facility,"2D & 3D Illustration,3D & 4D Image Processing Stations,3D Visualization,Analysis Workstations,Cell Imaging,Confocal Microscopy,Confocal/ Super Resolution Microscope,Correlative Light Electron Microscopy,Crystal Imaging,Data Analysis,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Data Visualization,Deconvolution,Electron Microscopy,Fluorescence Microscope With Optical Sectioning Capability,Live Cell Imaging,Optical Imaging,Scanning Electron Microscopy,Stereomicroscopy,Super-resolution Microscopy,Surface Plasmon Resonance,Surface Plasmon Resonance (SPR),Training,Widefield Microscopy","The Imaging Core Facility, located in the Petit Science Center building within Georgia State University's bustling downtown Atlanta campus, offers a range of sophisticated light and electron microscopy imaging-based analytical tools to support advanced research undertaken by Georgia State and its affiliated researchers. Our suite of technologies includes state-of-the-art laser scanning confocal microscopy, biological light microscopy, electron microscopy, and more.
 
 As one of the shared core facilities in the College of Arts and Sciences, the Imaging Core Facility is committed to..."
Gladstone Flow Cytometry Core,RRID:SCR_021714,Gladstone Institutes,San Francisco,CA,United States of America,https://gladstone.org/science/flow-cytometry-core,"Assay Development,Cell Sorting,Data Analysis,Data Processing And Interpretation,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry Data Analysis,High Performance Computing,Imaging Flow Cytomtry,Multi-color Flow Cytometry,Phenotyping,RNA Flow Cytometry,Sample Accessioning","The Gladstone Flow Cytometry Core offers operation, training and consultation on both cell sorters and analyzers.
 Our core comprises two BDFACSAria Fusions, a Fortessa X-20, an Attune, a Cytek Aurora, a NanoFCM and an Imagestream - all analyzers come with autosamplers.
 The core also offers antibody staining, protocol optimization and data analysis services."
Gladstone Stem Cell Core,RRID:SCR_027543,Gladstone Institutes,San Francisco,CA,,https://gladstone.org/science/stem-cell-core,"Cardiac Differentiation,Cardiac Differentiation Training,Cell Line Expansion And Banking,IPSC Colony Picking Training,IPSC Culture Training,IPSC Reprogramming,IPSC Reprogramming Training,IPSC Trilineage Differentiation,Mycoplasma Testing ,PBMC Isolation From Whole Blood ,Pipet-Aid Repair,Single Cell Sorting (Namocell)","The Gladstone Stem Cell Core offers a fully functional tissue culture facility with specialized instruments, media, reagents, cell lines, and expertise for new or established researchers to perform cutting-edge stem cell research. In addition, our core provides comprehensive human induced pluripotent stem (iPS) cells–related training, consultations, and standard and customized scientific services, including derivation of iPS cells, differentiation of iPS cells and genome editing in iPS cells to stem cell researchers."
Compounds Australia - Griffith University,RRID:SCR_024565,Griffith University,Brisbane,,Australia,https://www.griffith.edu.au/griffith-sciences/compounds-australia,"Automated Liquid Handling,Compound Management,Custom Library Prep Service,Drug Discovery,Fragment-based Drug Discovery,Library Services","Compounds Australia is a dedicated compound management and logistics facility. Through specialist infrastructure and expertise, we enable health researchers worldwide to outsource their sample logistics so that they can focus on research and results.
 
 Through a cost-effective, fee-for-service model, Compounds Australia securely stores and curates a suite of compound libraries (>1.5 million compounds), which are provided to researchers in flexible, assay-ready formats.
 
 We offer:
 - Access to curated compound libraries and specialised compound collections.
 - Secure sample storage and..."
Center for Macromolecular Interactions,RRID:SCR_018270,Harvard Medical School,Boston,MA,United States of America,cmi.hms.harvard.edu,"Biolayer Interferometry (BLI),Circular Dichroism (CD),Differential Scanning Fluorimetry (DSF),Isothermal Titration Calorimetry (ITC),Light Scattering,Mass Photometry,MicroScale Thermophoresis (MST),Surface Plasmon Resonance (SPR)","The Center for Macromolecular Interactions (CMI) in the department of Biological Chemistry and Molecular Pharmacology at Harvard Medical School provides scientific consultation, training and access to shared biophysical equipment for the characterization and analysis of macromolecules and their complexes.
 
 The facility offers training and access to instruments to measure molecular interactions by Isothermal Titration Calorimetry (ITC), Surface Plasmon Resonance (SPR), Biolayer Interferometry (BLI), MicroScale Thermophoresis (MST).
 
 The facility also offers select data collection..."
DF/HCC Mouse Engineering Core,RRID:SCR_022950,Harvard Medical School,Boston,MA,United States,https://www.dfhcc.harvard.edu/research/core-facilities/mouse-engineering/,"CRISPR Injection Services,Embryo Cryopreservation & Recovery Services,ES Cell Electroporation,ES Cell Injection,ES Cell Technology (Mouse),Fresh/Frozen Sperm IVF,Injection Of DNA Constructs,Sperm Cryopreservation,Tail Biopsy","The Mouse Engineering Core was established in 1992 operating at the BWH, and is now located at Harvard Medical School. The Mouse Engineering Core provides services for the generation of transgenic and knockout mice using state-of-the-art facilities and equipment.
 
 The Core has all of the equipment necessary for generation of transgenic mice including a Nikon Diaphot microscope equipped with Nomarski Optics and Narishige micromanipulators for microinjections, Nikon surgical microscopes for egg isolation and transfer, a sutter needle puller and a de Fonbrune microforge. The facility..."
HMS Conventional Electron Microscopy Facility,RRID:SCR_009793,Harvard Medical School,Boston,MA,United States,https://electron-microscopy.hms.harvard.edu/,"Critical Point Drying,Cryo-Ultra Microtomy,Freeze Substitution,High Pressure Freezing,Immuno Electron Microscopy,Microtomy/Electron,Negative Staining For TEM,Sample Preparation,Scanning Electron Microscopy,Sputter Coating,Transmission Electron Microscopy","The HMS Electron Microscopy Facility makes high quality electron microscopy services, instrumentation and training easily accessible to all researchers. Our services include consultation and experimental design for a wide variety of biological samples for both SEM and TEM."
HMS Research Computing Core,RRID:SCR_022289,Harvard Medical School,Boston,MA,United States,https://it.hms.harvard.edu/rc/core,"Computational - High Performance Computing,Computational - Interactive Compute/storage,High Performance Computing","The Research Computing Core is a set of research computing services provided by the Department of Information Technology at Harvard Medical School. The facilities include a high performance computing environment, O2, computational storage, and other services that support biomedical research such as research software licensing. Our services are only available to Harvard Medical School, Harvard University, and HMS Affiliates https://hms.harvard.edu/about-hms/hms-affiliates."
HMS-Biomolecular NMR Core,RRID:SCR_022967,Harvard Medical School,Boston,MA,United States of America,https://eqnmr.med.harvard.edu,"Fragment-based Drug Discovery,Fragment-based Screening,Metabolomics,Natural Product Analysis,NMR Medicinal Chemistry Support,NMR Quality Control For Biologic Drugs,NMR Quality Control For Biosimilars,Nuclear Magnetic Resonance (NMR),Protein NMR,Structure Determination","State-of-the-art resource for NMR that offers services in fragment-based screening and drug discovery, characterization and QC of biologics and biosimilar drugs, metabolomics, protein NMR, small molecule NMR, and NMR of natural products. The facility offers 400-700MHz systems, many with cryogenic probes. The staff is highly experienced and dedicated."
HMS-BPF NGS Genomics Core Facility,RRID:SCR_007175,Harvard Medical School,Boston,MA,United States of America,https://genome.med.harvard.edu/,"Central Laboratory Supply,Copy Number Variation (CNV),DNA Analysis,Genomics,Genotyping,Library Services,Molecular Library Services,Nucleic Acid Extraction,oligo synthesis,PCR Arrays,Real-time qPCR,RNA analysis,RNA Integrity,Sequencing - Capillary Sequencing,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS),Shared Instrumentation Oversight & Maintenance","-About the Core-
 
 The BPF NGS Genomics Core Facility, formerly known as ""The Biopolymers Facility,"" is a non-profit specialized service facility within the Department of Genetics at Harvard Medical School. The primary client base of the BPF consists of investigators at Harvard Medical School and affiliated research hospitals. While the majority of our users are located within the Longwood Medical Area, we also serve laboratories at schools, universities, and biotechnology companies globally.
 
 Our mission is to provide investigators with access to technology services that will..."
HMS-MicRoN,RRID:SCR_022209,Harvard Medical School,Boston,MA,United States,https://micron.hms.harvard.edu/,"3D & 4D Image Processing Stations,3D Visualization,Cell Imaging,Clinical Imaging - Small Animal (luminescence/fluorescence),Confocal Microscope With FCS/FLIM Capabilities ,Confocal Microscopy,Confocal/ Super Resolution Microscope,Consultation,Data Analysis And Interpretation,Data Processing,Data Visualization,Deconvolution,Fluorescence Lifetime,Fluorescence Microscope With Optical Sectioning Capability,Image Aquisition,Immunofluorescence ,In-vivo Imaging,Live Cell Imaging,Microscopy,Multiphoton Microscopy,Multiphoton/ Harmonic Generation Microscope,Optical Imaging,Spatial Transcriptomics,Super-resolution Microscopy,TIRF Microscopy,Training,Whole Slide Imaging,Widefield Microscopy","The Microscopy Resources On the North Quad (MicRoN) facility is a light microscopy core established by the Departments of Genetics, Immunology and Microbiology, and it is open to all HMS researchers, including Affiliated hospitals. MicRoN is a non-traditional decentralized or ""floating"" microscopy core. We support a wide range of imaging modalities ranging from widefield, TIRF, spinning disk and single point scanning confocal, multiphoton, FLIM and supper-resolution. The 14 microscopes that currently make up the core are embedded within the Departments of Microbiology, Immunology, and..."
PCMM Microscopy Core at Boston Children's Hospital,RRID:SCR_018822,Harvard Medical School,Boston,MA,United States,https://childrenshospital.corefacilities.org/service_center/show_external/3145,"Cell Imaging,Confocal Microscopy,Microscopy,Multiphoton Microscopy,Optical Imaging",confocal/multiphoton microscopy/electron microscopy/image analysis
Bauer Core,RRID:SCR_022656,Harvard University,Cambridge,MA,United States of America,https://bauercore.fas.harvard.edu/,"10x Genomics,Assays and Measurements,Cell Sorting,Consultation,Copy Number Variation (CNV),Digital PCR,DNA Analysis,Droplet Digital PCR,FACS Cell Sorting,Flow Cytometric Analysis,Genomics,Genotyping,Microarray,Nanopore Sequencing,Nanostring,Nanostring NCounter,Nucleic Acid Extraction,Phosphor Imaging,Plate Reader,Real-time qPCR,RNA analysis,RNA Integrity,RNAseq,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS),Single-Cell Analysis,Single-cell Sequencing,Spectral Flow Cytometry","Our goal is to advance research efforts in the life sciences that cannot readily be accomplished in the traditional academic laboratory because of a need for expensive instrumentation or automation, scientific or organizational infrastructure, or multidisciplinary expertise. 
 
 To promote cutting-edge research and to foster scientific collaborations, we make our extensive resources available to scientists at Harvard. Our technical staff provide expertise and hands-on training and the use of instrumentation for a nominal fee. Researchers can sign up to use the instrumentation through an..."
Harvard Center for Biological Imaging (HCBI),RRID:SCR_018673,Harvard University,Cambridge,MA,United States of America,www.hcbi.fas.harvard.edu,"Analysis Workstations,Cell Imaging,Confocal Microscope With FCS/FLIM Capabilities ,Confocal Microscopy,Confocal/ Super Resolution Microscope,Consultations,Data Analysis,Data Processing And Interpretation,Differential Interference Contrast Microscopy,Fluorescence Lifetime,Fluorescence Lifetime Imaging,Fluorescence Microscope With Optical Sectioning Capability,Forster Resonance Energy Transfer (FRET),Freeze Substitution,High Content Screening,Image Aquisition,Immunofluorescence ,Immunohistochemistry,In-vivo Imaging,Laser Capture Microdissection,Laser Scanning,Light-sheet Microscopy,Live Cell Imaging,Microscopy,Multiphoton Microscopy,Multiphoton/ Harmonic Generation Microscope,Multiplex Fluorescence,Multiplexed Immunofluorescence,Optical Imaging,Phase Contrast Microscopy,Photomanipulation,Scanning 20X Brightfield,Scanning 20X Flourescent,Scanning 20X Fluorescent,Scanning 40X Brightfield,Scanning 40X Fluorescent,Single-molecule Imaging,Slide Scanning,Spinning Disk Confocal Imaging,STED Nanoscopy,Stereomicroscopy,","The Harvard Center for Biological Imaging was opened May 17, 2010 and is one of the most innovative biological imaging centers in the world. In order to ensure investigators always have access to the latest and best technologies, the HCBI was designed to be an “Evergreen” microscopy facility. Imaging systems at the HCBI are leased rather than purchased and replaced every 2-3 years. This ensures that the facility remains relevant and is never in possession of outdated equipment. Currently, the HCBI contains 20 microscopes and 12 high-end processing stations including confocal,..."
HSPH Harvard Chan Bioinformatics Core,RRID:SCR_025373,Harvard University,Boston,MA,United States of America,https://bioinformatics.sph.harvard.edu/,"Bioinformatics Analysis,Bioinformatics Grant Proposal Support,Bioinformatics Project Planning,Bioinformatics Training,Computational - Bioinformatics,Consulting,Custom And Specialty NGS Workflows,RNA-Seq Training,Spatial / Single Cell Training","We analyse all types of high-throughput sequencing data from RNA-seq and single cell RNA-seq to variant sequencing (exome or whole genome), to ChIP-seq or bisulfite sequencing. With spatial profiling methods becoming more accessible, we have developed new workflows for spatial transcriptomic analysis and multimodal integration. We offer a dedicated bioinformatics training program for researchers interested in learning basic data skills and the analysis of high-throughput sequencing data. Our workshops focus on utilizing best practices in the field and research reproducibility."
Interdisciplinary Neurobehavioral Core INBC,RRID:SCR_019153,Heidelberg University,Heidelberg,,Germany,http://www.medizinische-fakultaet-hd.uni-heidelberg.de/Home.111344.0.html,"Animal Husbandry,Behavioral Phenotyping,Surgical Services","The Interdisciplinary Neurobehavioral Core is a multidisciplinary in vivo core facility at Heidelberg University. The CF is equipped with state-of-art equipment for detailed behavioral analyses and surgical procedures in the context of mouse and rat models of neurological, cognitive and psychiatric disorders. We aim to facilitate collaborative projects for basic scientists and clinically oriented researchers and to disseminate expertises and innovation."
Light Microscopy,RRID:SCR_022103,Howard Hughes Medical Institute,Ashburn,VA,United States of America,https://www.janelia.org/support-team/light-microscopy,"Analysis Workstations,Cell Culture,Cell Imaging,Confocal Microscopy,Confocal/ Super Resolution Microscope,Consultation,Consultations,Correlative Light Electron Microscopy,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Data Visualization,Deconvolution,Experimental Design,F.I.S.H.,Fluorescence Lifetime,Fluorescence Microscope With Optical Sectioning Capability,High-throughput Screening,Image Aquisition,Image Data Management,Image Processing And Analysis,In-vivo Imaging,Light-sheet Microscopy,Live Cell Imaging,Microscopy,Molecular Imaging,Multiphoton Microscopy,Multiphoton/ Harmonic Generation Microscope,Optical Imaging,Sample Preparation,Spatial Transcriptomics,Super-resolution Microscopy,TIRF Microscopy,Tissue Culture,Whole Slide Imaging,Widefield Microscopy","The Light Microscopy facility is a fully-supported, shared resources environment open 24 hours a day, seven days a week to Janelia scientists. It houses a full complement of state-of-the-art microscopes and multiple workstations dedicated to image processing."
Hunter College Digital Bio-Imaging Facility,RRID:SCR_017774,Hunter College,New York,NY,United States of America,http://biology.hunter.cuny.edu/index.php?option=com_content&view=article&id=44&Itemid=62,"3D Visualization,Cell Imaging,Confocal Microscopy,Data Analysis,Electron Microscopy,F.I.S.H.,Microscopy,Optical Imaging,Phosphor Imaging","This facility currently provides optical and electron microscopy services. The facility is equipped with Nikon TIRF/SIM superresolution microscope, a Nikon A1R resonant confocal, a Leica TCS SP2 confocal, and a Perkin Elmer Ultra VIEW ERS Spinning Disc confocal. In addition to confocal microscopy, the facility is also equipped for bright field, phase contrast, modulation contrast and epi fluorescence microscopy. The facility has two separate wide field image analysis stations. A Nikon Eclipse E 400 microscope equipped with a color video system and Nikon Elements imaging software, and a..."
Metabolomics Core,RRID:SCR_027540,Icahn School of Medicine at Mount Sinai,New York,NY,United States,https://icahn.mssm.edu/research/resources/deans-cores/metabolomics,"Data Analysis And Interpretation,Data Visualization,GC-MS,LC-MS,Lipidomics,Mass Spectrometry - Small Molecules,Metabolomics","The ISMMS Metabolomics Core provides end-to-end mass-spectrometry solutions for small-molecule research. Our team supports experimental design, ensuring proper handling, appropriate controls, and adequate statistical power, and then executes analyses on Thermo Orbitrap IQ-X and Agilent 6495D LC/MS systems and an Agilent 5977C GC/MS system. Using validated methods annotated against a library of 1,000+ compounds, we maximize metabolite and small-molecule coverage. We also offer untargeted profiling for biomarker and novel metabolite and lipid discovery, as well as stable-isotope tracing for..."
MSSM-Transgenic and Genome Editing CoRE,RRID:SCR_027505,Icahn School of Medicine at Mount Sinai,New York,NY,United States,https://icahn.mssm.edu/research/resources/deans-cores/transgenic-genome-editing,"Animal Breeding And Genetics,Assisted Reproductive Technologies (Rodent IVF, ICSI),Genetically Engineered Mouse Model Creation,Genotyping,Genotyping-by-sequencing,Transgenics","Transgenic and Genome Editing (TGE) Center of Research Excellence (CoRE) is equipped with cutting-edge technology and highly trained staff to offer full model creation services for Mount Sinai investigators and external users from consultation until delivery of germline-confirmed genetically engineered mouse models (GEMMs). To this purpose, we employ the latest genome editing tools such as CRISPR/Cas9 to rapidly generate GEMMs with diverse genome modifications such as humanization, large insertion, conditional knockout, base substitution and deletion. Animals produced in the CoRE are..."
Stem Cell Engineering Core,RRID:SCR_027503,Icahn School of Medicine at Mount Sinai,NYC,NY,United States,https://icahn.mssm.edu/research/resources/deans-cores/stem-cell-engineering,"IPSC Pluripotency Assessment ,Bank Of Reprogrammed IPSCs,CRISPR/Cas Project Design,Design And Validate Genome-editing Reagents,Directed Cell Differentiation,Genome Engineering,IPS Cell Reprogramming,IPSC,Neural Stem Cells,Organoids,Reprogramming Somatic Cells,Stem Cells","The SCEC provides comprehensive services for the generation and characterization of induced pluripotent stem cells (iPSCs) from somatic sources such as blood and fibroblasts, along with long-term cryobanking. The Core also offers access to a diverse collection of well-characterized iPSC lines derived from both healthy donors and patients with various diseases, representing a range of ethnic backgrounds and sexes.
 
 A major focus of the SCEC is gene editing in pluripotent stem cells, with extensive expertise in CRISPR-based applications—from precise point mutation knock-in (correction or..."
Molecular Research Core Facility,RRID:SCR_012598,Idaho State University,Pocatello,ID,United States of America,https://www.isu.edu/mrcf/,"Capillary Electrophoresis,Cell Imaging,Confocal Microscopy,Data Analysis,Data Processing And Interpretation,DNA Analysis,DNA Isolation,Electron Microscopy,ELISA,Flow Cytometric Analysis,Genomics,Genotyping,Library Services,Metagenomics Analysis,Microbiome,Microscopy,Multi-color Flow Cytometry,Multiphoton Microscopy,Plate Reader,Real-time qPCR,RNA analysis,RNA Integrity,RNA Isolation,RNAseq,Sequencing - Capillary Sequencing,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS),Shared Instrumentation Oversight & Maintenance,Spectroscopy,Whole Genome Sequencing,Whole Plant Imaging,Whole Slide Imaging","The ISU Molecular Research Core Facility (MRCF), provides fee-based services in a wide variety of molecular techniques. NGS library preparation, DNA/RNA extractions, ELISAs, PCR/qPCR, Microscopy and Flow Cytometry to name a few. We serve external and internal customers and are willing to discuss projects and help troubleshoot molecular assays with any researcher.
 Visit www.mrcf.isu.edu for more info!"
IUSM-Chemical Genomics Core Facility,RRID:SCR_018785,Indiana University – Purdue University Indianapolis,Indianapolis,IN,United States of America,https://medicine.iu.edu/research/support/service-cores/chemical-genomics,"Amino Acid Analysis,Assays and Measurements,Biochemical Analysis,Cell Culture,Cell Imaging,Chemical Design And Synthesis,CRISPR/Cas Project Design,Discovery Science,High Content Screening,HPLC,Library Services,Mass Spectrometry,Molecular Imaging,Nuclear Magnetic Resonance (NMR),Peptide Purification And Analysis,Peptide Synthesis,Small Molecule Compound Screening","Chemical Genomics Core Facility is located at Van Nuys Medical Science Building, Indiana University School of Medicine. The core is equipped with a collection of 227,680 diversity-oriented, drug-like, and natural small molecules in 9 non-redundant libraries, a variety of automated liquid handling and assay detection systems such as EnVision Multiplate reader and ArrayScan HCA System, modern equipment for medicinal and analytical chemistry including NMR, LC-QTOF MS, HPLC, Peptide Synthesizer, and sophisticated chemoinformatics tools. Besides the traditional high-throughput screening and hit..."
Electron Microscopy Center,RRID:SCR_017845,Indiana University Bloomington,Bloomington,IN,United States of America,iubemcenter.iu.edu,"Cryo-Electron Microscopy,Electron Microscopy,Outreach","The IUB Electron Microscopy Center (IUB-EMC) is a core facility located in Myers and Simon Hall on the IU-Bloomington campus. The IUB-EMC houses a large sample chamber 30 kV JSM 5800LV scanning electron microscope (SEM), a work-horse 100 kV JEM 1010 transmission electron microscope (TEM) and a more powerful 300 kV JEM 3200FS TEM. These microscopes were manufactured by the JEOL company. We have both standard and high-tilt Gatan cryo-holders for the JEOL 3200FS, which is equipped with an in-column energy filter, scan coils for scanning transmission electron microscopy (STEM) and detectors..."
Indiana University School of Medicine Center for Biological Microscopy Core Facility,RRID:SCR_025568,Indiana University School of Medicine,Indianapolis,IN,United States of America,https://medicine.iu.edu/internal-medicine/research/centers/biological-microscopy,"Brightfield Microscopy,Confocal Microscopy,Light Sheet Microscopy,Light-sheet Microscopy,Microscopy,Microscopy Imaging Analysis,Multiphoton Microscopy,Multiplex Fluorescence,Multiplexed Fluorometric Immunoassay,Multiplexed Immunofluorescence,Phase Contrast Microscopy,Widefield Microscopy","Provides researchers with access to laser-scanning confocal, 2-photon, multiplex and epi-fluorescence microscopes. Personnel train individual researchers to use all imaging systems and provide expert help in design, conduct and analysis of imaging studies. As necessary, center personnel can also be hired to conduct microscopy studies for laboratories lacking necessary expertise."
Arpege,RRID:SCR_023092,Institut de Génomique Fonctionnelle,Montpellier,,France,https://www.arpege.cnrs.fr,"Assay Development,Assays and Measurements,Automated Liquid Handling,Pathway Interpretation,Plate Reader","ARPEGE is specialized in the functional and structural analysis of protein complexes. This facility offers the possibility to characterize all types of molecular interactions: ligand-target binding, protein-protein interactions, signal transduction, and signalling complexes. The facility staff members are skilled specialists in luminescence-based techniques and in receptor biology.
 
 
 Application portfolio:
 
 - Analysis of cell signalling, by measuring signal transduction,
 - Ligand-target binding (pharmacological analysis, affinity, selectivity),
 - Protein-protein interactions..."
Paris Brain Institute Quantitative Cellular and Molecular Imaging Core Facility,RRID:SCR_026393,Institut du Cerveau,Paris,,,https://quant.institutducerveau.org,"Confocal/ Super Resolution Microscope,High Content Screening,Light Sheet Microscopy,Live Cell Imaging,Multiphoton Microscopy,Spinning Disk Confocal Imaging,STED Nanoscopy,Transmission Electron Microscopy","Core provides expertise in optical microscopy, electron microscopy, and image analysis for neuroscience research. The platform is open to all researchers. Offers access to advanced technologies, including electron microscopy, confocal microscopy, two-photon imaging, and super-resolution microscopy."
Human disease models core facility,RRID:SCR_023881,Institut Pasteur,Paris,,France,https://research.pasteur.fr/en/team/human-disease-models-core-facility/,"Animal Husbandry,Blood Processing,DNA Isolation,ELISA,Flow Cytometric Analysis,Flow Cytometry,Flow Cytometry Data Analysis,HIS Mice Production,Immune Monitoring,Immunization,Immunoassay,In-vivo Imaging,Irradiation,Luminex Bead Based Cytokine Assays,Multi-color Flow Cytometry,Pharmacokinetics,Phenotyping,Pipeline Development,Plate Reader,Project Management,Protocol Development,Sample Preparation,Staining,Stem Cell Procurement,Tail Biopsy,Transgenics,Virology","Human Disease Models Core Facility produces mice harboring a human immune system (HIS mice) and provide expertise for the possible applications of this model.
 
 HIS mice engrafted with human Hematopoietic stem cells (HSC) are advantageous in vivo models for long-term studies in the field of human immune cells biology, immune-oncology and infectious disease. They constitute a small animal model in which to analyze potency and safety of new drugs modulating the immune system."
Cancer Metabolism,RRID:SCR_014873,Institute for Systems Biology,La Jolla,CA,United States of America,http://www.SBPdiscovery.org/,"GC,Mass Spectrometry,Metabolomics,Stable Isotope Tracing","The Sanford Burnham Prebys Cancer Metabolism Core provides a unique service for the analysis of metabolism, offering both metabolite quantification and stable-isotope tracing methodology, centered around gas chromatography-mass spectrometry (GC-MS). We offer GC-MS analysis of polar metabolites (TCA cycle, glycolysis metabolites and amino acids), short chain fatty acids, fatty acids and cholesterol, sugars and sugar-phosphates. As well as cells, we can also analyze tissues, tumors, serum or culture medium as necessary. We also have available a YSI 2950 analyzer for measurement of glucose,..."
Center for vaccine Development Flow and Massy Cytometry Core,RRID:SCR_018835,Institute for Systems Biology,Baltimore,MD,United States of America,https://cibr.umaryland.edu/landing/1754,"Cell Sorting,Data Analysis,Flow Cytometric Analysis,Mass Cytometry",A flow and mass cytometry core for the University of Maryland system.
Proteomics,RRID:SCR_022225,Institute for Systems Biology,La Jolla,CA,United States of America,http://www.sanfordburnham.org/technology/sr/Pages/LaJolla_Proteomics.aspx,"2D-PAGE,Data Analysis,Mass Spectrometry,Proteomics","The Sanford-Burnham Proteomics Facility provides state-of-the-art mass spectrometry-based proteomics services with methods tailored to the needs of scientific investigators for routine mass spectrometric analysis of peptides and proteins, identification of novel proteins, characterization of post-translational modifications, and quantitative proteomics analysis of simple to complex biological samples. The facility identifies, validates and develops new methods designed for the characterization and identification of biologically important proteins. It also supports users with software..."
Facility Name,Facility RRID,Institution Name,City,State,Country,Website,Services,Description
Advanced Microscopy Applications Unit (ADMiRA),RRID:SCR_022788,Instituto Nacional de Cancerología,Ciudad de Mexico,,Mexico,www.admiramicro.com,"Analysis Workstations,Cell Culture,Cell Imaging,Confocal Microscopy,Correlative Light Electron Microscopy,Deconvolution,Electron Microscopy,F.I.S.H.,Focused Ion Beam (FIB),Image Aquisition,Image Data Management,Image Processing And Analysis,Karyotyping,Laser Capture Microdissection,Light-sheet Microscopy,Live Cell Imaging,Microscopy,Multiphoton Microscopy,Multiplex Fluorescence,Prepared Slides,Sample Preparation,Scanning Electron Microscopy,Slide Scanning,Stereomicroscopy,Super-resolution Microscopy,Telomere Length Analysis,TIRF Microscopy,Training,Transmission Electron Microscopy,Whole Slide Imaging,Widefield Microscopy","The Advanced Microscopy Applications Unit (ADMiRA) is an Imaging Core Facility located within the National Cancer Institute of Mexico. It provides scientific and technical support in imaging to diverse communities including academy, industry, health care, government sector, etc. Imaging technologies in ADMiRA include: Confocal, Widefield, Super-Resolution, Lightsheet, FIB-SEM, Laser Microdisection, and Automated digital scanning."
"Advanced Microscopy Applications Unit (ADMiRA), RAI, UNAM",RRID:SCR_026170,Instituto Nacional de Cancerología,"Tlalpan, Mexico City",,Mexico,https://admiramicro.com.mx,"Advanced Microscopy Applications: Confocal, Super Resolution, Slide Scanning, Microdisection, Lightsheet, STEM And FIB Microscopy,Correlative Light Electron Microscopy,Fluorescence Recovery After Photobleaching (FRAP),Forster Resonance Energy Transfer (FRET),Live Cell Imaging,Multiphoton Microscopy,Optical Tweezers ,PALM Microscopy,Structured Illumination Microscopy,TIRF Microscopy","Facility devoted to answer scientific, industrial and medical questions by providing technical and scientific support to all kind of users in advanced microscopy and image processing and analysis"
Biophysics and Bioanalytics Facility,RRID:SCR_021630,International Institute of Molecular and Cell Biology,Warsaw,,Poland,https://core-facility.iimcb.gov.pl/bbf/,"Analytical Ultracentrifugation,Circular Dichroism (CD),Differential Scanning Calorimetry,FT-IR,HPLC,Isothermal Titration Calorimetry,Size Exclusion Chromatography With Multi-Angle Light Scattering,Surface Plasmon Resonance (SPR)","We offer comprehensive selection of molecular biophysics techniques such as SPR, SEC-MALS, AUC, ITC, CD, FT-IR useful in characterization of macromolecule size and intermolecular interactions"
Genome Informatics Facility,RRID:SCR_017790,Iowa State University,Ames,IA,United States of America,http://gif.biotech.iastate.edu/,"Computational - Bioinformatics,Computational - Biostatistics,Computational - High Performance Computing,Data Analysis,Genomics,RNA analysis,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS)","The Genome Informatics Facility of the Iowa State University Office of Biotechnology provides bioinformatics services for investigators within academia, industry and government. Quality analysis starts with understanding the nuances of the biological question at hand and the assumptions made by informatics tools. For this reason, our staff works closely with researchers to provide the best solution to the biological inquiry."
Hybridoma Facility,RRID:SCR_018829,Iowa State University,Ames,IA,United States of America,http://www.biotech.iastate.edu/biotechnology-service-facilities/hybridoma-facility/,"Assays and Measurements,Cell Culture,Monoclonal Antibody,Tissue Culture","mouse polyclonal serum
 hybridoma fusions
 large scale antibody production
 large scale antibody purification
 cyropreservation and storage
 24/7 online freezer information retrieval
 online tracking and ordering system"
